name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010
11 Comae Berenices b,305,19.4 Jupiters,4.74,2007
11 Ursae Minoris b,410,14.74 Jupiters,5.016,2009
14 Andromedae b,247,4.8 Jupiters,5.227,2008
14 Herculis b,59,4.66 Jupiters,6.61,2002
16 Cygni B b,69,1.78 Jupiters,6.25,1996
18 Delphini b,249,10.3 Jupiters,5.506,2008
1RXS J160929.1-210524 b,473,8 Jupiters,12.057,2008
24 Bootis b,314,0.91 Jupiters,5.58,2018
24 Sextantis b,236,1.99 Jupiters,6.441,2010
24 Sextantis c,236,0.86 Jupiters,6.441,2010
2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013
2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013
2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015
2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010
2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004
2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015
2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009
2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016
30 Arietis B b,146,13.82 Jupiters,6.962,2009
42 Draconis b,296,3.88 Jupiters,4.82,2008
2MASS J01033563-5515561 AB b,154,13 Jupiters,,2013
2MASS J01225093-2439505 b,117,24.5 Jupiters,14.24,2013
2MASS J02192210-3925225 b,129,13.9 Jupiters,15.012,2015
2MASS J04414489+2301513 b,457,7.5 Jupiters,18.967,2010
2MASS J12073346-3932539 b,210,4 Jupiters,20.15,2004
2MASS J19383260+4603591 b,1307,1.9 Jupiters,12.138,2015
2MASS J21402931+1625183 A b,82,20.95 Jupiters,17.396,2009
2MASS J22362452+4751425 b,241,12.5 Jupiters,12.51,2016
30 Arietis B b,146,13.82 Jupiters,6.962,2009
42 Draconis b,296,3.88 Jupiters,4.82,2008
55 Cancri f,41,0.141 Jupiters,5.96,2007
61 Virginis b,28,5.1 Earths,4.74,2009
61 Virginis c,28,18.2 Earths,4.74,2009
61 Virginis d,28,22.9 Earths,4.74,2009
6 Lyncis b,179,2.01 Jupiters,5.86,2008
70 Virginis b,58,7.49 Jupiters,4.97,1996
75 Ceti b,271,3 Jupiters,5.35,2012
7 Canis Majoris b,65,1.85 Jupiters,3.92,2011
7 Canis Majoris c,65,0.87 Jupiters,3.92,2019
81 Ceti b,331,5.3 Jupiters,5.65,2008
55 Cancri f,41,0.141 Jupiters,5.96,2007
61 Virginis b,28,5.1 Earths,4.74,2009
61 Virginis c,28,18.2 Earths,4.74,2009
61 Virginis d,28,22.9 Earths,4.74,2009
6 Lyncis b,179,2.01 Jupiters,5.86,2008
70 Virginis b,58,7.49 Jupiters,4.97,1996
75 Ceti b,271,3 Jupiters,5.35,2012
7 Canis Majoris b,65,1.85 Jupiters,3.92,2011
7 Canis Majoris c,65,0.87 Jupiters,3.92,2019
81 Ceti b,331,5.3 Jupiters,5.65,2008
8 Ursae Minoris b,533,1.31 Jupiters,6.83,2015
91 Aquarii b,144,3.2 Jupiters,4.25,2013
AB Pictoris b,163,13.5 Jupiters,9.128,2005
Alpha Arietis b,66,1.8 Jupiters,2,2010
Alpha Tauri b,67,6.47 Jupiters,0.85,2015
AU Microscopii b,32,0.18 Jupiters,8.81,2020
BD+03 2562 b,8540,6.4 Jupiters,9.58,2017
BD-06 1339 b,66,8.5 Earths,9.7,2013
BD-06 1339 c,66,0.17 Jupiters,9.7,2013
BD-08 2823 b,135,12.7132 Earths,9.88,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD-08 2823 c,135,0.33 Jupiters,9.88,2009
BD-10 3166 b,276,0.59 Jupiters,10.08,2000
BD-11 4672 b,89,0.65 Jupiters,9.99,2014
BD-11 4672 c,89,15.37 Earths,9.99,2020
BD-13 2130 b,3095,9.78 Jupiters,9.45,2007
BD+14 4559 b,161,1.04 Jupiters,9.63,2009
BD+15 2375 b,2525,1.061 Jupiters,10.31,2016
BD+15 2940 b,1408,1.11 Jupiters,9.046,2013
BD-17 63 b,113,5.1 Jupiters,9.566,2008
BD+20 2457 b,5450,55.59 Jupiters,9.75,2009
BD+20 2457 c,5450,12.47 Jupiters,9.75,2009
BD+20 274 b,4514,4.2 Jupiters,9.36,2012
BD+20 594 b,588,22.2481 Earths,11.038,2016
BD+48 738 b,2910,0.91 Jupiters,9.14,2011
BD+48 740 b,2215,1.7 Jupiters,8.699,2018
BD+49 828 b,1460,1.6 Jupiters,9.38,2015
Beta Cancri b,295,7.8 Jupiters,3.53,2014
Beta Pictoris b,64,11 Jupiters,3.85,2008
Beta Pictoris c,64,9 Jupiters,3.85,2019
Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014
BD+20 2457 c,5450,12.47 Jupiters,9.75,2009
BD+20 274 b,4514,4.2 Jupiters,9.36,2012
BD+20 594 b,588,22.2481 Earths,11.038,2016
BD+48 738 b,2910,0.91 Jupiters,9.14,2011
BD+48 740 b,2215,1.7 Jupiters,8.699,2018
BD+49 828 b,1460,1.6 Jupiters,9.38,2015
Beta Cancri b,295,7.8 Jupiters,3.53,2014
Beta Pictoris b,64,11 Jupiters,3.85,2008
Beta Pictoris c,64,9 Jupiters,3.85,2019
Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009
CoRoT-7 b,524,4.07661 Earths,11.668,2009
CoRoT-7 c,524,8.4 Earths,11.668,2009
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017
CT Chamaleontis b,538,17 Jupiters,11.773,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009
CoRoT-7 b,524,4.07661 Earths,11.668,2009
CoRoT-7 c,524,8.4 Earths,11.668,2009
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017
CT Chamaleontis b,538,17 Jupiters,11.773,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009
CoRoT-7 b,524,4.07661 Earths,11.668,2009
CoRoT-7 c,524,8.4 Earths,11.668,2009
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017
CT Chamaleontis b,538,17 Jupiters,11.773,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013
DH Tauri b,457,11 Jupiters,12.496,2004
DMPP-1 b,202,24.27 Earths,7.981,2019
DMPP-1 c,202,9.6 Earths,7.981,2019
DMPP-1 d,202,3.35 Earths,7.981,2019
DMPP-1 e,202,4.13 Earths,7.981,2019
DMPP-2 b,437,0.437 Jupiters,8.567,2019
DMPP-3 A b,160,2.58 Earths,9.066,2019
DP Leonis b,995,6.28 Jupiters,18.633,2009
DS Tucanae A b,144,1.3 Jupiters,8.469,2019
EPIC 201170410.02,437,1.15 Earths,16.439,2020
DH Tauri b,457,11 Jupiters,12.496,2004
DMPP-1 b,202,24.27 Earths,7.981,2019
DMPP-1 c,202,9.6 Earths,7.981,2019
DMPP-1 d,202,3.35 Earths,7.981,2019
DMPP-1 e,202,4.13 Earths,7.981,2019
DMPP-2 b,437,0.437 Jupiters,8.567,2019
DMPP-3 A b,160,2.58 Earths,9.066,2019
DP Leonis b,995,6.28 Jupiters,18.633,2009
DS Tucanae A b,144,1.3 Jupiters,8.469,2019
EPIC 201170410.02,437,1.15 Earths,16.439,2020
EPIC 206042996 b,1492,3.26 Earths,16.743,2019
EPIC 206215704 b,360,0.666 Earths,16.172,2019
EPIC 206317286 b,1035,0.84 Earths,14.051,2019
EPIC 211822797 b,611,4.58 Earths,15.256,2016
EPIC 211945201 b,596,27 Earths,10.154,2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019
EPIC 206042996 b,1492,3.26 Earths,16.743,2019
EPIC 206215704 b,360,0.666 Earths,16.172,2019
EPIC 206317286 b,1035,0.84 Earths,14.051,2019
EPIC 211822797 b,611,4.58 Earths,15.256,2016
EPIC 211945201 b,596,27 Earths,10.154,2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019
EPIC 212737443 c,1133,7.7 Earths,14.836,2019
EPIC 220554210 c,1638,2.79 Earths,14.042,2019
EPIC 220674823 b,803,7.72 Earths,12.102,2016
EPIC 220674823 c,803,5.8 Earths,12.102,2016
EPIC 246851721 b,1098,3 Jupiters,11.439,2018
EPIC 248847494 b,1827,13 Jupiters,12.416,2018
EPIC 249893012 b,1058,8.75 Earths,11.428,2020
EPIC 249893012 c,1058,14.67 Earths,11.428,2020
EPIC 249893012 d,1058,10.18 Earths,11.428,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,161,7.6 Jupiters,3.54,2006
FU Tauri b,457,16 Jupiters,20.48,2008
G 9-40 b,91,4.76 Earths,13.823,2019
Gamma 1 Leonis b,126,8.78 Jupiters,1.98,2009
Gamma Cephei b,44,1.85 Jupiters,3.21,2003
Gamma Librae b,155,1.02 Jupiters,3.91,2018
Gamma Librae c,155,4.58 Jupiters,3.91,2018
GJ 1061 b,12,1.37 Earths,13.06,2020
GJ 1061 c,12,1.74 Earths,13.06,2020
GJ 1061 d,12,1.64 Earths,13.06,2020
GJ 1132 b,41,1.66 Earths,13.49,2015
GJ 1132 c,41,2.64 Earths,13.49,2018
GJ 1148 b,36,0.30425 Jupiters,11.92,2010
GJ 1148 c,36,0.21414 Jupiters,11.92,2017
GJ 1214 b,48,6.26125 Earths,15.1,2009
GJ 1252 b,66,2.09 Earths,12.193,2020
GJ 1265 b,33,7.4 Earths,13.57,2018
GJ 143 b,53,22.7 Earths,7.87,2019
GJ 15 A b,12,3.03 Earths,8.08,2014
GJ 15 A c,12,36 Earths,8.08,2018
GJ 160.2 b,84,10.2 Earths,9.68,2014
GJ 163 b,49,10.6 Earths,11.81,2013
GJ 163 c,49,6.8 Earths,11.81,2013
GJ 163 d,49,29.4 Earths,11.81,2013
GJ 179 b,40,0.82 Jupiters,12,2009
GJ 180 b,39,6.49 Earths,10.91,2014
GJ 180 c,39,6.4 Earths,10.91,2014
GJ 180 d,39,7.56 Earths,10.91,2020
GJ 15 A b,12,3.03 Earths,8.08,2014
GJ 15 A c,12,36 Earths,8.08,2018
GJ 160.2 b,84,10.2 Earths,9.68,2014
GJ 163 b,49,10.6 Earths,11.81,2013
GJ 163 c,49,6.8 Earths,11.81,2013
GJ 163 d,49,29.4 Earths,11.81,2013
GJ 179 b,40,0.82 Jupiters,12,2009
GJ 180 b,39,6.49 Earths,10.91,2014
GJ 180 c,39,6.4 Earths,10.91,2014
GJ 180 d,39,7.56 Earths,10.91,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.14,2020
GJ 229 b,19,8.478 Earths,8.14,2014
GJ 27.1 b,77,13 Earths,11.42,2014
GJ 273 b,12,2.89 Earths,9.872,2017
GJ 273 c,12,1.18 Earths,9.872,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3082 b,54,8.2 Earths,11.077,2020
GJ 3138 b,93,1.78 Earths,10.98,2017
GJ 3138 c,93,4.18 Earths,10.98,2017
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.14,2020
GJ 229 b,19,8.478 Earths,8.14,2014
GJ 27.1 b,77,13 Earths,11.42,2014
GJ 273 b,12,2.89 Earths,9.872,2017
GJ 273 c,12,1.18 Earths,9.872,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3082 b,54,8.2 Earths,11.077,2020
GJ 3138 b,93,1.78 Earths,10.98,2017
GJ 3138 c,93,4.18 Earths,10.98,2017
GJ 3138 d,93,10.5 Earths,10.98,2017
GJ 317 b,49,2.5 Jupiters,11.97,2007
GJ 317 c,49,1.64396 Jupiters,11.97,2018
GJ 328 b,67,2.3 Jupiters,9.97,2013
GJ 3293 b,66,23.54 Earths,11.962,2015
GJ 3293 c,66,21.09 Earths,11.962,2015
GJ 3293 d,66,7.6 Earths,11.962,2017
GJ 3293 e,66,3.28 Earths,11.962,2017
GJ 3323 b,17,2.02 Earths,12.22,2017
GJ 3323 c,17,2.31 Earths,12.22,2017
GJ 3138 d,93,10.5 Earths,10.98,2017
GJ 317 b,49,2.5 Jupiters,11.97,2007
GJ 317 c,49,1.64396 Jupiters,11.97,2018
GJ 328 b,67,2.3 Jupiters,9.97,2013
GJ 3293 b,66,23.54 Earths,11.962,2015
GJ 3293 c,66,21.09 Earths,11.962,2015
GJ 3293 d,66,7.6 Earths,11.962,2017
GJ 3293 e,66,3.28 Earths,11.962,2017
GJ 3323 b,17,2.02 Earths,12.22,2017
GJ 3323 c,17,2.31 Earths,12.22,2017
GJ 3341 b,76,6.6 Earths,12.08,2015
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 3470 b,96,13.9 Earths,12.33,2012
GJ 3473 b,89,1.86 Earths,12.465,2020
GJ 3473 c,89,7.41 Earths,12.465,2020
GJ 3512 b,31,0.463 Jupiters,15.05,2019
GJ 357 b,31,1.84 Earths,10.92,2019
GJ 357 c,31,3.4 Earths,10.92,2019
GJ 357 d,31,6.1 Earths,10.92,2019
GJ 3634 b,65,8.4 Earths,11.93,2010
GJ 3779 b,45,8 Earths,12.96,2018
GJ 3942 b,55,7.14 Earths,10.25,2017
GJ 3998 b,59,2.47 Earths,10.83,2016
GJ 3998 c,59,6.26 Earths,10.83,2016
GJ 411 b,8,2.99 Earths,7.49,2019
GJ 422 b,41,11.07 Earths,11.55,2014
GJ 4276 b,70,16.57 Earths,11.66,2019
GJ 433 b,30,6.043 Earths,9.806,2011
GJ 433 c,30,32.422 Earths,9.806,2014
GJ 433 d,30,5.223 Earths,9.806,2020
GJ 3779 b,45,8 Earths,12.96,2018
GJ 3942 b,55,7.14 Earths,10.25,2017
GJ 3998 b,59,2.47 Earths,10.83,2016
GJ 3998 c,59,6.26 Earths,10.83,2016
GJ 411 b,8,2.99 Earths,7.49,2019
GJ 422 b,41,11.07 Earths,11.55,2014
GJ 4276 b,70,16.57 Earths,11.66,2019
GJ 433 b,30,6.043 Earths,9.806,2011
GJ 433 c,30,32.422 Earths,9.806,2014
GJ 433 d,30,5.223 Earths,9.806,2020
GJ 667 C c,22,3.8 Earths,10.22,2011
GJ 667 C e,22,2.7 Earths,10.22,2013
GJ 667 C f,22,2.7 Earths,10.22,2013
GJ 667 C g,22,4.6 Earths,10.22,2013
GJ 674 b,15,11.09 Earths,9.37,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.97,2014
GJ 667 C c,22,3.8 Earths,10.22,2011
GJ 667 C e,22,2.7 Earths,10.22,2013
GJ 667 C f,22,2.7 Earths,10.22,2013
GJ 667 C g,22,4.6 Earths,10.22,2013
GJ 674 b,15,11.09 Earths,9.37,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.97,2014
GJ 667 C c,22,3.8 Earths,10.22,2011
GJ 667 C e,22,2.7 Earths,10.22,2013
GJ 667 C f,22,2.7 Earths,10.22,2013
GJ 667 C g,22,4.6 Earths,10.22,2013
GJ 674 b,15,11.09 Earths,9.37,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.97,2014
GJ 876 d,15,6.83 Earths,10.191,2005
GJ 876 e,15,14.6 Earths,10.191,2010
GJ 887 b,11,4.2 Earths,7.335,2020
GJ 887 c,11,7.6 Earths,7.335,2020
GJ 9066 b,15,30.9 Earths,12.27,2020
GJ 9066 c,15,0.22528 Jupiters,12.27,2020
GJ 96 b,39,19.66 Earths,9.345,2018
GJ 9827 b,97,4.91 Earths,10.25,2017
GJ 9827 c,97,0.84 Earths,10.25,2017
GJ 9827 d,97,4.04 Earths,10.25,2017
Gl 378 b,49,13.02 Earths,10.19,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.577,2018
GQ Lupi b,495,20 Jupiters,12.43,2004
GSC 06214-00210 b,473,16 Jupiters,12.375,2010
GU Piscium b,157,11.3 Jupiters,13.55,2014
HAT-P-11 b,123,26.69772 Earths,9.151,2008
HAT-P-11 c,123,2.3 Jupiters,9.151,2018
HAT-P-12 b,465,0.211 Jupiters,12.84,2009
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
Gl 378 b,49,13.02 Earths,10.19,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.577,2018
GQ Lupi b,495,20 Jupiters,12.43,2004
GSC 06214-00210 b,473,16 Jupiters,12.375,2010
GU Piscium b,157,11.3 Jupiters,13.55,2014
HAT-P-11 b,123,26.69772 Earths,9.151,2008
HAT-P-11 c,123,2.3 Jupiters,9.151,2018
HAT-P-12 b,465,0.211 Jupiters,12.84,2009
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
HAT-P-13 c,698,14.28 Jupiters,10.622,2009
HAT-P-14 b,731,3.44 Jupiters,9.98,2010
HAT-P-15 b,631,1.94 Jupiters,12.16,2010
HAT-P-16 b,767,4.193 Jupiters,10.812,2010
HAT-P-17 b,302,0.58 Jupiters,10.54,2010
HAT-P-17 c,302,3.4 Jupiters,10.54,2010
HAT-P-18 b,541,0.197 Jupiters,12.759,2010
HAT-P-19 b,701,0.292 Jupiters,12.901,2010
HAT-P-1 b,521,0.525 Jupiters,10.34,2006
HAT-P-20 b,228,7.246 Jupiters,11.339,2010
HAT-P-21 b,912,4.87 Jupiters,11.685,2010
HAT-P-22 b,267,2.47 Jupiters,9.732,2010
HAT-P-23 b,1202,1.34 Jupiters,12.432,2010
HAT-P-24 b,1371,0.75 Jupiters,11.818,2010
HAT-P-25 b,988,0.569 Jupiters,13.19,2010
HAT-P-26 b,465,22.2481 Earths,11.744,2010
HAT-P-27 b,665,0.62 Jupiters,11.956,2011
HAT-P-28 b,1288,0.626 Jupiters,13.03,2011
HAT-P-29 b,1032,0.88 Jupiters,11.9,2011
HAT-P-2 b,418,8.7 Jupiters,8.72,2007
HAT-P-21 b,912,4.87 Jupiters,11.685,2010
HAT-P-22 b,267,2.47 Jupiters,9.732,2010
HAT-P-23 b,1202,1.34 Jupiters,12.432,2010
HAT-P-24 b,1371,0.75 Jupiters,11.818,2010
HAT-P-25 b,988,0.569 Jupiters,13.19,2010
HAT-P-26 b,465,22.2481 Earths,11.744,2010
HAT-P-27 b,665,0.62 Jupiters,11.956,2011
HAT-P-28 b,1288,0.626 Jupiters,13.03,2011
HAT-P-29 b,1032,0.88 Jupiters,11.9,2011
HAT-P-2 b,418,8.7 Jupiters,8.72,2007
HAT-P-30 b,702,0.83 Jupiters,10.419,2011
HAT-P-31 b,1133,2.27 Jupiters,11.66,2011
HAT-P-32 b,951,0.68 Jupiters,11.289,2011
HAT-P-33 b,1307,0.92 Jupiters,11.188,2011
HAT-P-34 b,819,3.33 Jupiters,10.162,2011
HAT-P-35 b,1677,1.056 Jupiters,12.46,2011
HAT-P-36 b,969,1.8482 Jupiters,12.262,2011
HAT-P-37 b,1341,1.169 Jupiters,13.23,2011
HAT-P-38 b,812,0.267 Jupiters,12.557,2012
HAT-P-39 b,2094,0.599 Jupiters,12.422,2012
HAT-P-3 b,441,0.65 Jupiters,11.577,2007
HAT-P-40 b,1535,0.48 Jupiters,11.699,2012
HAT-P-41 b,1147,1.19 Jupiters,11.087,2012
HAT-P-42 b,1458,1.044 Jupiters,12.168,2012
HAT-P-43 b,1768,0.662 Jupiters,13.356,2012
HAT-P-44 b,1184,0.352 Jupiters,12.973,2014
HAT-P-44 c,1184,4 Jupiters,12.973,2014
HAT-P-45 b,995,0.892 Jupiters,12.398,2014
HAT-P-46 b,966,0.493 Jupiters,11.684,2014
HAT-P-49 b,1154,2.2 Jupiters,10.326,2014
HAT-P-3 b,441,0.65 Jupiters,11.577,2007
HAT-P-40 b,1535,0.48 Jupiters,11.699,2012
HAT-P-41 b,1147,1.19 Jupiters,11.087,2012
HAT-P-42 b,1458,1.044 Jupiters,12.168,2012
HAT-P-43 b,1768,0.662 Jupiters,13.356,2012
HAT-P-44 b,1184,0.352 Jupiters,12.973,2014
HAT-P-44 c,1184,4 Jupiters,12.973,2014
HAT-P-45 b,995,0.892 Jupiters,12.398,2014
HAT-P-46 b,966,0.493 Jupiters,11.684,2014
HAT-P-49 b,1154,2.2 Jupiters,10.326,2014
HAT-P-4 b,1024,0.671 Jupiters,11.118,2007
HAT-P-50 b,1621,1.35 Jupiters,11.762,2015
HAT-P-51 b,1533,0.309 Jupiters,13.44,2015
HAT-P-52 b,1256,0.818 Jupiters,14.068,2015
HAT-P-53 b,2345,1.484 Jupiters,13.73,2015
HAT-P-54 b,471,0.76 Jupiters,13.017,2015
HAT-P-55 b,1566,0.582 Jupiters,13.207,2015
HAT-P-56 b,1055,2.31 Jupiters,10.908,2015
HAT-P-57 b,920,1.41 Jupiters,10.465,2015
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-9 b,1566,0.749 Jupiters,12.297,2008
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
